Customer  Arrival    Service  Queue  Teller  Time Serv  Time Cust  Time Serv  Time Spent
   Id      Time       Time     Loc    Loc     Begins      Waits      Ends       in Sys  
--------  -------   --------  -----  ------  ---------  ---------  ---------  ----------
   56	  97.99	    10.04	-1	2      97.99	    0.00    108.03 	 10.04 
   59	 105.73	     3.76	-1	3     105.73	    0.00    109.49 	  3.76 
   58	 105.33	     6.72	-1	0     105.33	    0.00    112.05 	  6.72 
   63	 110.38	     2.11	-1	3     110.38	    0.00    112.49 	  2.11 
   61	 108.81	     6.78	-1	2     108.81	    0.00    115.59 	  6.78 
   60	 107.64	     9.49	-1	4     107.64	    0.00    117.13 	  9.49 
   62	 109.22	    10.75	-1	5     109.22	    0.00    119.97 	 10.75 
   55	  96.95	    24.41	-1	1      96.95	    0.00    121.36 	 24.41 
   65	 112.01	     2.26	1	1     121.36	    9.35    123.62 	 11.61 
   64	 110.79	    11.95	0	0     112.05	    1.26    124.00 	 13.21 
   66	 116.61	    13.98	-1	2     116.61	    0.00    130.59 	 13.98 
   69	 129.24	     1.77	-1	1     129.24	    0.00    131.01 	  1.77 
   70	 131.28	     0.35	-1	1     131.28	    0.00    131.63 	  0.35 
   72	 132.20	     0.51	-1	2     132.20	    0.00    132.72 	  0.51 
   75	 134.40	     2.07	-1	5     134.40	    0.00    136.47 	  2.07 
   71	 132.18	     6.63	-1	1     132.18	    0.00    138.81 	  6.63 
   73	 132.78	     7.64	-1	2     132.78	    0.00    140.41 	  7.64 
   74	 133.82	     6.82	-1	4     133.82	    0.00    140.64 	  6.82 
   68	 124.49	    17.04	-1	0     124.49	    0.00    141.54 	 17.04 
   77	 138.90	     4.84	-1	1     138.90	    0.00    143.74 	  4.84 
   76	 136.55	     7.92	-1	5     136.55	    0.00    144.47 	  7.92 
   67	 122.25	    22.51	-1	3     122.25	    0.00    144.77 	 22.51 
   81	 146.22	     1.77	-1	3     146.22	    0.00    147.99 	  1.77 
   82	 146.30	     1.97	-1	4     146.30	    0.00    148.28 	  1.97 
   84	 149.04	     1.05	-1	4     149.04	    0.00    150.09 	  1.05 
   85	 149.71	     2.71	-1	5     149.71	    0.00    152.42 	  2.71 
   79	 141.87	    11.53	-1	2     141.87	    0.00    153.40 	 11.53 
   87	 150.72	     4.15	-1	4     150.72	    0.00    154.88 	  4.15 
   80	 145.66	    10.21	-1	1     145.66	    0.00    155.87 	 10.21 
   90	 155.34	     2.45	-1	2     155.34	    0.00    157.79 	  2.45 
   89	 153.08	     4.75	-1	5     153.08	    0.00    157.83 	  4.75 
   78	 139.22	    16.62	0	0     141.54	    2.32    158.16 	 18.94 
   83	 149.01	     9.41	-1	3     149.01	    0.00    158.42 	  9.41 
   91	 160.67	     1.29	-1	2     160.67	    0.00    161.96 	  1.29 
   86	 149.73	     8.35	0	0     158.16	    8.44    166.52 	 16.79 
   95	 167.20	     1.39	-1	0     167.20	    0.00    168.59 	  1.39 
   88	 151.17	    14.70	1	1     155.87	    4.70    170.57 	 19.40 
   94	 166.42	     5.65	-1	4     166.42	    0.00    172.07 	  5.65 
   92	 160.78	    11.36	-1	3     160.78	    0.00    172.14 	 11.36 
   97	 170.00	     2.39	-1	5     170.00	    0.00    172.39 	  2.39 
   96	 169.51	     4.12	-1	0     169.51	    0.00    173.63 	  4.12 
